candidate,day,tweet_count,retweet_count,like_count,reply_count
melenchon,2022-02-15,45,17128,47685,3874
melenchon,2022-02-16,38,18538,61028,3435
melenchon,2022-02-17,66,25996,84407,5199
melenchon,2022-02-18,23,7256,21024,1250
melenchon,2022-02-19,20,7327,17738,1294
melenchon,2022-02-20,37,16762,54281,6027
melenchon,2022-02-21,36,15577,48615,3896
melenchon,2022-02-22,39,16778,45360,4994
melenchon,2022-02-23,29,15858,50198,4156
melenchon,2022-02-24,52,21669,71799,4876
melenchon,2022-02-25,35,14070,42790,5877
melenchon,2022-02-26,43,16237,40803,4820
melenchon,2022-02-27,32,12606,27133,1258
melenchon,2022-02-28,32,14543,40479,2685
melenchon,2022-03-01,63,36444,144179,5786
melenchon,2022-03-02,49,25656,67191,5480
melenchon,2022-03-03,24,13408,36286,2560
melenchon,2022-03-04,30,12378,32079,2457
melenchon,2022-03-05,35,15542,44750,4429
melenchon,2022-03-06,84,36466,101454,9010
melenchon,2022-03-07,49,19054,58642,4123
melenchon,2022-03-08,47,18085,59272,3579
melenchon,2022-03-09,61,17070,47383,4475
melenchon,2022-03-10,70,25848,73485,5754
melenchon,2022-03-11,48,21265,59164,6024
melenchon,2022-03-12,97,27059,72231,4169
melenchon,2022-03-13,36,15435,45852,2683
pecresse,2022-01-03,31,9068,25951,5872
pecresse,2022-01-04,34,12981,37099,5584
pecresse,2022-01-05,20,7363,22634,11419
pecresse,2022-01-06,30,8804,24249,6075
pecresse,2022-01-07,11,2757,7825,1373
pecresse,2022-01-08,10,3783,10870,3169
pecresse,2022-01-09,28,11044,34062,7765
pecresse,2022-01-10,20,5304,14791,2701
pecresse,2022-01-11,15,5452,10875,3638
pecresse,2022-01-12,8,2478,6706,1380
pecresse,2022-01-13,19,10028,21596,4008
pecresse,2022-01-14,10,4617,11418,1751
pecresse,2022-01-15,18,7375,19475,5249
pecresse,2022-01-16,7,2219,3957,643
pecresse,2022-01-17,11,4682,11210,2623
pecresse,2022-01-18,36,10824,30365,7573
pecresse,2022-01-19,23,6895,17936,1907
pecresse,2022-01-20,11,2813,5739,2414
pecresse,2022-01-21,18,6602,14775,3121
pecresse,2022-01-22,8,2854,7805,2570
pecresse,2022-01-23,22,7086,17747,3463
pecresse,2022-01-24,8,2350,5598,2093
pecresse,2022-01-25,12,3656,7387,946
pecresse,2022-01-26,11,2494,5673,1348
pecresse,2022-01-27,11,2739,6519,1420
pecresse,2022-01-28,7,2539,8841,1525
pecresse,2022-01-29,9,3297,9210,2371
pecresse,2022-01-30,11,3811,8928,1994
pecresse,2022-01-31,16,3458,9224,4433
pecresse,2022-02-01,9,3881,7920,942
pecresse,2022-02-02,25,10797,26262,3880
pecresse,2022-02-03,9,4893,9929,2210
pecresse,2022-02-04,7,2269,4747,1073
pecresse,2022-02-05,10,3007,7557,2270
pecresse,2022-02-06,14,5913,17153,2858
pecresse,2022-02-07,16,3690,8955,1898
pecresse,2022-02-08,12,3742,8953,3577
pecresse,2022-02-09,8,2423,6167,2408
pecresse,2022-02-10,14,5639,16092,3059
pecresse,2022-02-11,9,1942,4331,2142
pecresse,2022-02-12,4,1335,2955,833
pecresse,2022-02-13,81,28175,86217,21518
pecresse,2022-02-14,17,5884,16208,8753
pecresse,2022-02-15,24,7120,18450,5292
pecresse,2022-02-16,23,6566,17108,5938
pecresse,2022-02-17,20,6277,12747,2272
pecresse,2022-02-18,22,5068,12445,5660
pecresse,2022-02-19,7,3048,10849,2053
pecresse,2022-02-20,14,4898,10523,969
pecresse,2022-02-21,11,2786,6079,1355
pecresse,2022-02-22,32,9398,21032,4068
pecresse,2022-02-23,46,20389,61476,10400
pecresse,2022-02-24,29,10305,26024,5549
pecresse,2022-02-25,10,2850,7186,3547
pecresse,2022-02-26,14,4111,8627,4040
pecresse,2022-02-27,11,4832,23450,5593
pecresse,2022-02-28,22,5596,16893,5256
pecresse,2022-03-01,8,1773,5087,1823
pecresse,2022-03-02,18,3723,10224,3319
pecresse,2022-03-03,12,3012,7513,3426
pecresse,2022-03-04,18,5577,13820,5143
pecresse,2022-03-05,10,2496,8105,1953
pecresse,2022-03-06,4,1597,4917,229
pecresse,2022-03-07,7,1707,3869,2065
pecresse,2022-03-08,18,4924,13719,2282
pecresse,2022-03-09,24,7469,18253,4494
pecresse,2022-03-10,92,22099,53868,21206
pecresse,2022-03-11,41,10508,24324,10570
pecresse,2022-03-12,15,4277,13082,4269
pecresse,2022-03-13,19,3315,6766,4333
poutou,2022-01-03,1,449,3421,134
poutou,2022-01-05,2,4232,18466,542
poutou,2022-01-11,3,867,3593,93
poutou,2022-01-13,2,1117,5671,132
poutou,2022-01-14,1,181,834,29
poutou,2022-01-17,1,1260,7828,148
poutou,2022-01-19,1,263,871,44
poutou,2022-01-22,2,619,2323,93
poutou,2022-01-23,8,12320,47583,904
poutou,2022-01-24,1,873,3761,73
poutou,2022-01-25,4,770,4789,43
poutou,2022-01-28,1,186,941,19
poutou,2022-01-29,1,170,483,28
poutou,2022-01-30,2,2390,16177,401
poutou,2022-01-31,1,990,4342,88
poutou,2022-02-01,2,1045,5012,86
poutou,2022-02-03,2,1759,6799,134
poutou,2022-02-06,1,284,1116,22
poutou,2022-02-07,3,1146,6041,173
poutou,2022-02-08,14,12670,57374,650
poutou,2022-02-09,2,2980,10141,103
poutou,2022-02-10,3,1892,13174,175
poutou,2022-02-11,3,938,4351,141
poutou,2022-02-12,1,260,779,8
poutou,2022-02-13,1,303,877,24
poutou,2022-02-15,2,1109,2966,66
poutou,2022-02-16,1,4360,19066,364
poutou,2022-02-17,2,2370,7539,100
poutou,2022-02-20,3,2620,8192,252
poutou,2022-02-21,1,827,3759,47
poutou,2022-02-22,1,187,639,65
poutou,2022-02-23,1,1128,3036,59
poutou,2022-02-24,3,1238,5894,272
poutou,2022-02-25,2,1453,4471,60
poutou,2022-02-27,1,1121,3911,68
poutou,2022-02-28,4,2691,12956,238
poutou,2022-03-01,4,3894,20193,254
poutou,2022-03-02,3,6159,23858,430
poutou,2022-03-03,3,8712,39507,1165
poutou,2022-03-07,7,5252,19955,721
poutou,2022-03-08,6,4286,17112,651
poutou,2022-03-09,3,2673,13590,148
poutou,2022-03-10,2,1142,5413,275
poutou,2022-03-11,10,14113,52232,1343
poutou,2022-03-12,5,1487,5750,163
poutou,2022-03-13,7,6111,20985,542
roussel,2022-01-03,2,413,1404,118
roussel,2022-01-04,4,1142,3255,326
roussel,2022-01-05,2,369,2185,68
roussel,2022-01-06,2,770,4900,179
roussel,2022-01-07,5,2262,9318,365
roussel,2022-01-08,1,292,639,46
roussel,2022-01-09,8,3981,26675,2762
roussel,2022-01-10,7,2220,10338,753
roussel,2022-01-11,5,2675,17291,1889
roussel,2022-01-12,8,2176,10551,1157
roussel,2022-01-13,1,357,930,23
roussel,2022-01-14,5,1413,5994,404
roussel,2022-01-15,2,795,3970,460
roussel,2022-01-16,3,1535,13572,1047
roussel,2022-01-17,12,5968,41111,2750
roussel,2022-01-18,7,3852,18175,1595
roussel,2022-01-19,4,1370,8761,501
roussel,2022-01-20,2,333,1208,128
roussel,2022-01-21,2,2034,9705,311
roussel,2022-01-22,6,1654,12147,744
roussel,2022-01-23,3,870,4698,199
roussel,2022-01-24,4,1460,8732,712
roussel,2022-01-25,4,663,2213,166
roussel,2022-01-26,7,3389,16506,2618
roussel,2022-01-27,4,1160,3913,280
roussel,2022-01-28,3,799,3350,487
roussel,2022-01-29,1,843,5083,145
roussel,2022-01-30,1,240,1187,80
roussel,2022-01-31,4,3292,24571,1100
roussel,2022-02-01,9,4542,26869,2290
roussel,2022-02-02,8,4021,28037,2129
roussel,2022-02-03,3,1333,7865,648
roussel,2022-02-04,2,311,1266,153
roussel,2022-02-05,1,181,480,20
roussel,2022-02-06,9,2902,15288,1627
roussel,2022-02-07,7,1847,10339,1234
roussel,2022-02-08,8,2264,8265,755
roussel,2022-02-09,2,302,1138,42
roussel,2022-02-10,2,935,4286,163
roussel,2022-02-11,6,1274,5425,612
roussel,2022-02-12,2,422,1556,107
roussel,2022-02-13,8,2751,13443,473
roussel,2022-02-14,6,1668,8435,658
roussel,2022-02-15,15,5373,22506,3713
roussel,2022-02-16,6,1668,4639,405
roussel,2022-02-17,5,1182,3122,304
roussel,2022-02-18,2,340,890,40
roussel,2022-02-19,5,1913,4046,242
roussel,2022-02-20,5,1752,6356,406
roussel,2022-02-21,11,6145,20608,4154
roussel,2022-02-22,6,1149,4998,467
roussel,2022-02-24,6,1564,5934,1192
roussel,2022-02-25,1,187,534,61
roussel,2022-02-26,3,1633,8648,615
roussel,2022-02-27,1,357,1404,208
roussel,2022-02-28,1,1293,4174,83
roussel,2022-03-01,8,2306,8455,478
roussel,2022-03-02,2,397,1502,107
roussel,2022-03-03,1,217,815,151
roussel,2022-03-04,4,775,2452,229
roussel,2022-03-05,6,2463,8782,1509
roussel,2022-03-06,1,299,1189,224
roussel,2022-03-07,4,994,2125,368
roussel,2022-03-08,10,2231,12315,1243
roussel,2022-03-09,8,2020,8055,1578
roussel,2022-03-10,10,2375,9019,1540
roussel,2022-03-11,13,5217,19978,2698
roussel,2022-03-12,7,977,3322,302
